Resources,Category
"https://www.epa.gov/watersense/fix-leak-week
",Water
https://www.epa.gov/watersense/statistics-and-facts,Water
https://www.nidwater.com/5-facts-you-need-to-know-about-household-water-leaks,Water
"https://parade.com/1192402/jessicasager/earth-day-trivia/ 
",History
https://www.intermountainhistories.org/tours/show/20 ,History
https://www.mentalfloss.com/article/78560/10-fascinating-facts-about-earth-day ,History
"https://sdgs.un.org/goals 
",Policy
https://www.un.org/sustainabledevelopment/sustainable-development-goals/ ,Policy
https://www.undp.org/sustainable-development-goals ,Policy
"https://www.nexamp.com/blog/all-about-earth-day-and-earth-month-2024 
",History
https://parade.com/1192402/jessicasager/earth-day-trivia/ ,History
"https://time.com/6968732/earth-day-surprising-facts/
",History
"https://www.whoi.edu/know-your-ocean/did-you-know/does-the-ocean-produce-oxygen/ 
",Air/Atmosphere
https://ocean.si.edu/ocean-life/plankton/every-breath-you-take-thank-ocean ,Air/Atmosphere
https://oceanservice.noaa.gov/facts/ocean-oxygen.html ,Air/Atmosphere
"https://www.weforum.org/agenda/2022/04/us-wind-electricity-generation-renewable-energy/ 
",Energy
https://www.chooseenergy.com/data-center/wind-generation-by-state/ ,Energy
"https://ocshredding.com/blog/does-it-take-more-energy-to-produce-recycled-paper/ 
",Energy
https://portal.ct.gov/deep/reduce-reuse-recycle/municipal-recycling-resource-center/as-a-matter-of-fact ,Energy
"https://www.statista.com/statistics/1421763/global-wind-energy-generation-leading-countries/ 
",Energy
https://worldpopulationreview.com/country-rankings/wind-power-by-country ,Energy
https://www.power-technology.com/features/wind-energy-by-country/ ,Energy
"https://www.epa.gov/ghgemissions/sources-greenhouse-gas-emissions 
",Energy
"https://www.eia.gov/energyexplained/energy-and-the-environment/where-greenhouse-gases-come-from.php 
",Energy
https://climatechange.chicago.gov/ghgemissions/sources-greenhouse-gas-emissions ,Energy
"https://www.un.org/esa/dsd/csd/csd_aboucsd.shtml 
",History
https://sustainabledevelopment.un.org/csd.html ,History
https://enb.iisd.org/negotiations/un-commission-sustainable-development-csd ,History
https://www.environmentandsociety.org/tools/keywords/hans-carl-von-carlowitz-and-sustainability ,History
https://globaledge.msu.edu/blog/post/57129/sustainability-through-history ,History
https://thesustainableagency.com/blog/the-history-of-sustainability/ ,History
"https://www.adb.org/sites/default/files/publication/29664/world-sustainable-development-timeline.pdf 
",History
https://www.sd-commission.org.uk/pages/history_sd.html ,History
https://senedd.wales/research%20documents/qg15-003%20-%20sustainable%20development%20history%20and%20concepts/qg15-003.pdf ,History
"https://source.colostate.edu/sustainable-transportation/ 
",Actions/Behaviors
https://coolcalifornia.arb.ca.gov/sustainable_transportation ,Actions/Behaviors
https://ourworldindata.org/travel-carbon-footprint ,Actions/Behaviors
https://www.worldwildlife.org/ ,Actions/Behaviors
"https://www.solarunitedneighbors.org/get-involved-with-solar-united-neighbors/boy-scouts-of-america-sun-patch-program/ 
",Solar
https://www.solarunitedneighbors.org/get-involved-with-solar-united-neighbors/sun-patch-program-girl-scouts/ ,Solar
https://yaleclimateconnections.org/2021/10/scouts-can-now-earn-patches-for-learning-about-solar-energy/ ,Solar
"https://www.epo.org/en/news-events/in-focus/biotechnology-patents/red-white-green 
",Technology
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7119977/ ,Technology
https://builtin.com/biotech ,Technology
